engagement_rate
15.62
2.17
21.79
2.57
13.21
6.41
10.83
10.5
35.55
3.36
39.09
7.8
9.7
33.91
11.72
12.15
10.02
8.0
9.53
6.92
16.17
8.1
12.15
21.14
5.18
18.02
112.71
9.67
36.81
20.82
53.64
4.93
30.7
12.61
13.92
1.5
16.3
2.84
15.57
11.11
10.48
5.65
7.87
8.79
20.59
18.4
7.06
10.08
14.09
22.72
5.86
11.12
5.1
1.64
11.37
20.12
2.25
3.91
6.5
17.68
13.73
9.84
13.9
6.38
5.43
20.52
23.13
14.22
2.49
9.39
13.29
19.84
6.31
9.8
2.56
33.74
13.03
2.58
8.87
13.04
2.66
6.27
3.95
13.97
11.59
5.16
12.53
6.17
6.87
10.92
15.55
109.52
1.92
7.39
14.51
3.24
10.26
2.05
42.06
6.81
5.43
7.79
6.6
7.82
2.85
27.66
165.4
60.4
29.31
2.24
14.64
1.26
4.58
5.22
39.9
2.8
12.66
3.53
6.12
11.36
10.35
9.99
54.71
7.64
16.25
8.68
5.82
43.7
7.32
35.15
0.58
11.06
10.92
7.88
3.36
4.32
8.22
15.41
4.76
8.89
14.68
4.35
9.59
18.33
11.73
5.15
5.84
32.72
18.51
6.54
11.86
6.29
6.9
61.79
11.17
10.6
13.41
7.13
11.4
8.15
6.82
14.69
273.42
4.99
9.19
8.03
31.09
14.37
14.22
2.15
3.34
2.17
9.1
9.14
13.77
16.57
2.83
9.47
9.2
26.49
7.13
8.9
7.45
6.21
18.51
2.95
1.37
2.57
7.78
1.86
8.56
6.85
17.04
2.12
6.82
4.68
5.52
4.22
10.67
10.55
27.56
7.21
6.01
8.58
3.74
3.82
10.01
6.45
21.32
9.26
6.48
15.11
3.26
11.66
21.5
2.34
9.92
4.39
2.66
10.66
13.51
8.59
6.15
10.49
6.37
7.73
9.13
10.41
4.39
90.05
4.76
20.91
3.73
2.32
3.67
175.18
7.98
7.84
2.51
10.31
11.08
7.99
19.36
7.02
11.52
2.48
15.94
35.62
8.98
13.69
8.43
2.78
3.47
5.1
16.14
9.21
3.36
11.57
9.35
7.17
3.44
18.14
3.43
8.2
1.89
2.22
71.67
9.13
7.76
0.7
18.41
4.89
10.37
3.92
24.71
16.82
12.3
4.0
14.28
24.14
3.08
18.37
2.91
11.77
3.08
5.86
5.44
3.01
3.18
3.23
2.66
8.85
7.81
16.6
7.78
3.57
19.55
12.24
3.09
36.17
3.7
6.3
12.28
5.64
100.88
20.87
133.42
9.65
2.04
2.19
17.34
6.43
37.31
3.48
34.42
16.21
9.78
39.47
15.95
15.9
22.52
15.41
11.42
27.44
43.8
10.5
15.34
14.13
10.43
48.44
8.13
11.18
6.5
34.61
45.99
15.99
11.41
10.58
14.66
5.49
8.82
28.47
8.44
11.67
6.52
10.1
1.86
9.37
8.14
30.99
30.32
2.27
7.41
45.31
3.54
8.73
4.46
1.28
10.91
7.8
13.1
21.96
9.54
10.02
3.41
20.41
19.72
5.39
3.7
7.02
6.81
1.69
5.63
8.64
16.42
16.66
13.68
67.02
3.95
8.78
6.46
2.81
1.63
8.97
46.01
5.92
17.3
11.49
9.11
5.56
19.66
11.97
2.88
22.61
14.17
2.33
20.21
20.37
3.05
8.37
10.34
10.57
76.05
19.05
13.91
8.87
23.41
19.4
9.14
9.53
9.23
17.52
16.87
7.42
14.42
52.9
14.11
4.35
11.75
5.09
1.95
3.45
3.8
1.64
14.43
12.45
12.95
23.26
3.09
17.16
46.49
1.36
9.84
7.73
17.81
2.0
100.3
7.57
4.81
13.81
3.16
110.48
11.44
3.31
8.55
7.11
5.12
1.66
9.56
32.66
30.37
13.38
8.71
3.94
3.26
6.62
18.06
25.51
1.75
29.86
10.92
8.84
3.73
7.43
10.73
2.46
11.43
57.69
1.32
9.14
20.99
6.97
5.85
3.05
17.85
3.77
6.11
67.53
136.7
5.33
6.88
14.5
1.43
3.61
37.03
38.76
7.74
7.05
1.42
14.56
4.3
2.32
45.49
2.46
5.79
1.62
5.2
1.58
6.63
7.34
10.74
2.45
6.51
16.46
8.19
18.93
11.07
16.57
13.06
7.52
23.21
21.32
8.72
41.89
9.26
11.7
3.39
19.84
13.52
15.68
11.06
23.21
19.76
80.64
23.88
12.26
4.7
27.75
11.97
6.28
9.25
10.41
7.41
9.15
2.3
1.45
4.12
18.86
8.76
1.15
4.38
7.97
1.35
12.94
6.2
5.4
5.33
16.17
12.37
9.48
2.43
11.7
8.81
6.29
7.31
11.69
13.33
16.73
2.68
17.17
9.11
21.63
24.33
13.0
23.77
11.91
21.87
2.0
1.05
10.48
9.0
2.84
16.5
20.58
42.72
4.19
10.36
23.27
6.45
7.52
32.67
5.37
122.48
10.35
4.26
14.27
2.64
9.95
6.77
11.26
6.72
6.81
4.34
1.35
3.87
18.42
9.24
9.02
25.75
29.72
5.93
9.41
9.25
15.36
12.47
36.98
22.99
8.47
11.48
6.49
41.07
13.21
2.82
23.9
11.03
5.04
5.82
34.05
12.85
14.13
10.29
1.86
5.17
7.38
12.86
5.44
7.58
4.91
2.31
11.95
18.61
3.78
8.97
17.64
3.82
23.86
7.77
32.47
9.11
7.56
12.68
9.5
9.74
19.79
1.25
31.96
12.13
23.07
1.13
11.19
20.3
0.6
3.31
1.06
51.24
5.11
8.86
11.52
28.36
5.87
4.71
1.34
15.3
8.0
13.48
8.3
36.79
2.95
7.01
27.75
8.97
11.41
7.22
38.16
9.67
7.96
6.7
9.35
2.0
24.35
10.34
4.19
15.68
3.95
2.22
7.08
1.27
16.14
9.11
16.27
9.0
5.45
6.32
4.99
10.73
46.65
5.37
4.49
59.71
13.71
7.04
3.16
6.51
11.34
6.79
4.77
11.26
8.37
49.25
3.31
3.31
34.68
3.21
5.25
9.65
4.62
9.21
9.02
10.89
9.83
16.22
12.31
24.52
11.37
12.62
11.7
4.93
4.94
14.1
15.73
21.22
10.82
5.12
25.62
1.25
32.84
4.64
7.7
4.81
10.41
8.17
5.15
9.83
3.61
37.41
39.92
47.55
4.85
24.3
9.53
8.49
10.7
8.38
2.31
5.01
6.53
4.88
20.54
68.44
7.01
7.16
13.36
151.39
8.14
6.11
21.82
3.97
17.24
4.26
3.58
29.86
9.14
8.02
7.89
16.77
1.8
49.96
91.28
6.98
5.63
18.5
12.26
1.88
0.93
6.0
8.68
6.44
3.11
9.03
2.56
13.35
10.48
8.97
10.12
13.08
7.11
4.89
1.82
8.84
23.74
7.78
5.63
35.06
6.34
10.44
19.31
4.13
12.55
4.21
20.16
10.47
14.41
21.91
12.08
6.12
9.46
9.64
5.87
8.6
9.27
2.95
28.62
6.19
9.18
10.19
14.31
7.2
11.13
20.29
43.21
3.39
9.48
8.27
21.95
9.68
7.65
8.46
9.58
8.1
36.49
11.7
12.81
2.08
4.92
10.97
18.27
2.45
9.93
15.3
14.17
23.75
10.72
5.58
27.45
9.99
24.46
11.61
43.05
25.29
13.72
7.55
4.6
44.53
13.37
23.77
8.46
24.53
13.03
5.78
6.44
51.71
12.05
7.38
60.17
27.8
6.91
30.44
11.64
9.17
6.36
11.45
3.27
45.9
7.95
25.73
66.75
50.66
9.45
8.75
9.88
18.96
36.61
10.97
21.12
5.13
3.71
1.2
1.09
3.08
1.2
6.04
4.65
5.16
7.81
7.5
24.84
8.97
0.76
5.31
4.84
0.57
3.49
13.13
9.28
9.87
5.99
3.65
30.57
6.91
15.02
13.45
17.02
74.09
13.72
27.13
7.7
6.63
10.68
3.63
5.29
15.41
10.26
12.39
9.7
36.02
3.91
8.26
19.72
16.36
1.2
2.26
0.88
31.2
10.16
17.08
9.32
41.76
11.97
3.42
6.14
40.93
23.95
2.71
4.93
7.31
8.21
7.96
2.39
6.22
5.74
13.06
7.62
6.41
41.79
2.2
4.92
5.46
32.63
11.29
5.91
8.07
63.61
2.11
3.69
29.44
11.48
33.52
4.82
23.32
226.31
11.07
21.93
7.0
25.25
9.5
9.9
2.27
9.64
56.65
18.86
12.51
3.83
3.54
17.4
1.35
14.73
8.58
56.69
5.23
1.75
1.24
11.16
1.81
24.0
25.8
4.01
1.92
3.11
44.2
5.44
7.85
12.95
2.72
12.21
4.54
3.56
6.7
3.56
9.91
356.47
3.72
4.13
8.82
10.2
0.78
4.84
9.08
2.46
12.59
5.22
8.36
10.57
2.96
3.84
17.39
2.41
9.91
3.68
32.18
19.44
28.85
2.92
3.1
10.92
9.89
12.99
10.4
1.28
31.06
20.01
15.04
15.03
13.58
8.54
1.67
8.06
4.06
20.87
14.67
3.44
6.45
6.66
12.18
1.35
5.01
12.59
36.24
27.38
5.86
9.38
3.61
5.58
1.35
10.6
18.35
6.29
20.66
4.56
1.48
3.37
3.24
12.1
12.85
87.24
3.38
6.99
18.81
40.78
9.48
4.21
7.54
14.01
3.5
13.79
10.56
24.34
14.07
34.14
7.63
3.75
9.84
23.55
9.26
22.02
4.09
1.12
18.68
9.39
2.08
9.92
13.5
3.89
20.57
16.61
22.87
16.87
23.86
3.61
4.46
25.32
3.33
5.47
17.88
3.88
8.43
1.73
2.45
8.58
3.71
12.22
3.3
19.19
24.74
9.2
8.15
11.73
8.81
47.16
82.57
74.38
7.54
9.17
12.13
4.29
16.04
5.69
4.11
1.56
1.91
7.49
22.46
21.47
9.56
7.15
3.0
1.22
9.32
10.47
5.95
6.91
1.26
8.34
13.41
5.99
4.11
8.69
22.96
8.96
30.24
8.42
7.48
3.2
13.02
2.88
3.06
1.04
3.65
2.83
10.18
18.78
2.38
11.78
0.76
2.0
13.77
15.32
7.74
28.23
19.0
2.85
35.15
62.09
4.51
4.2
7.43
6.34
26.73
12.13
6.89
8.2
6.82
8.7
42.43
6.68
17.81
9.5
8.88
8.17
8.47
6.77
18.14
1.4
28.19
1.98
7.25
4.13
6.33
11.35
14.19
3.11
19.17
